Date,Rainfall(mm),Temperature(C),Humidity(%)
1981-01-01,0.0,25.83,68.1
1981-01-02,0.0,25.73,72.11
1981-01-03,0.22,26.18,71.28
1981-01-04,0.2,25.67,70.7
1981-01-05,0.04,25.43,68.18
1981-01-06,0.0,25.61,62.63
1981-01-07,0.0,24.86,67.48
1981-01-08,0.0,23.64,71.74
1981-01-09,0.0,22.48,60.12
1981-01-10,0.32,22.89,64.78
1981-01-11,0.47,23.93,67.97
1981-01-12,0.76,23.7,71.06
1981-01-13,0.01,24.82,69.84
1981-01-14,0.03,25.47,67.94
1981-01-15,0.03,25.59,68.84
1981-01-16,0.15,26.09,70.68
1981-01-17,0.21,26.08,69.41
1981-01-18,1.74,24.91,76.21
1981-01-19,0.0,25.9,67.76
1981-01-20,0.0,25.71,71.06
1981-01-21,0.01,25.87,65.82
1981-01-22,0.01,25.39,61.15
1981-01-23,0.0,25.62,67.43
1981-01-24,0.0,25.26,70.35
1981-01-25,0.01,25.29,70.38
1981-01-26,0.0,26.35,66.47
1981-01-27,0.02,26.64,64.28
1981-01-28,0.0,26.44,57.61
1981-01-29,0.0,26.47,57.33
1981-01-30,0.0,26.31,59.93
1981-01-31,0.0,26.66,61.4
1981-02-01,0.01,26.31,59.31
1981-02-02,0.0,26.05,53.85
1981-02-03,0.0,26.21,56.7
1981-02-04,0.0,26.15,57.87
1981-02-05,0.0,26.13,57.04
1981-02-06,0.0,26.92,60.96
1981-02-07,0.0,27.38,60.86
1981-02-08,0.02,27.48,66.64
1981-02-09,0.01,27.66,65.71
1981-02-10,0.0,27.57,57.24
1981-02-11,0.0,27.41,58.33
1981-02-12,0.0,26.76,64.57
1981-02-13,0.02,27.03,60.05
1981-02-14,0.0,26.98,58.85
1981-02-15,0.0,27.1,59.68
1981-02-16,0.05,27.43,61.51
1981-02-17,3.61,26.85,59.68
1981-02-18,2.98,26.08,62.55
1981-02-19,0.0,26.45,57.2
1981-02-20,0.0,26.99,53.7
1981-02-21,0.0,27.41,51.49
1981-02-22,0.0,27.96,53.21
1981-02-23,0.0,27.82,53.9
1981-02-24,0.0,27.92,48.81
1981-02-25,0.0,27.87,52.36
1981-02-26,0.0,28.31,54.03
1981-02-27,0.02,28.32,55.28
1981-02-28,0.0,28.17,58.63
1981-03-01,1.24,28.09,61.69
1981-03-02,0.0,29.06,55.66
1981-03-03,0.0,29.27,51.91
1981-03-04,0.04,29.09,52.39
1981-03-05,0.0,28.86,51.71
1981-03-06,0.0,28.84,43.44
1981-03-07,0.0,28.98,51.94
1981-03-08,0.0,29.19,58.26
1981-03-09,0.07,28.61,59.74
1981-03-10,0.02,28.77,59.07
1981-03-11,0.2,28.88,56.26
1981-03-12,0.85,28.58,58.44
1981-03-13,0.01,29.07,57.48
1981-03-14,0.23,29.19,60.55
1981-03-15,0.03,29.51,60.07
1981-03-16,0.03,29.7,61.99
1981-03-17,0.2,28.83,63.76
1981-03-18,0.04,29.47,60.37
1981-03-19,0.47,29.42,61.26
1981-03-20,0.18,28.84,58.9
1981-03-21,0.0,29.5,56.67
1981-03-22,0.02,29.01,59.53
