Date,ALLSKY_SFC_SW_DWN,PS,WS2M,RH2M,T2M,PRECTOTCORR
01-01-1984,11,99.38,1.48,79.84,25.15,0.59
02-01-1984,15.36,99.38,1.54,76.92,25.58,0.05
03-01-1984,18.62,99.4,1.64,74.15,26.37,0.01
04-01-1984,19.42,99.46,1.31,73,26.45,0.09
05-01-1984,17.39,99.38,1.26,74.53,26.16,0.05
06-01-1984,18.81,99.35,1.41,74.74,26.32,0
07-01-1984,17.59,99.26,1.37,74.34,26.26,0.1
08-01-1984,16.27,99.32,1.17,74.43,25.76,0.15
09-01-1984,18.62,99.24,1.14,65.99,26.06,0
10-01-1984,18.32,99.21,1.56,69.66,25.73,0
11-01-1984,16.63,99.27,1.58,66.78,26.31,0.01
12-01-1984,14.33,99.32,1.01,59.65,26.25,0.02
13-01-1984,18.37,99.12,1.25,60.31,26.73,0
14-01-1984,18.4,98.94,1.6,60.38,26.51,0
15-01-1984,18.38,99,1.46,67.64,26.54,0.04
16-01-1984,18.64,99.05,1.76,70.98,26.71,0.14
17-01-1984,20.31,98.96,1.52,70.42,26.52,0.13
18-01-1984,15,98.88,1.42,71.16,26.94,0.12
19-01-1984,18.58,98.9,1.13,81.54,25.67,0.09
20-01-1984,15.78,98.94,2.18,71.26,26.9,0.06
21-01-1984,19.19,99,2.23,67.3,25.97,0
22-01-1984,19.67,98.99,2.36,59.8,25.4,0
23-01-1984,20.56,99.09,2.44,62.91,25.12,0
24-01-1984,19.26,99.23,1.75,64.73,25.56,0
25-01-1984,19.68,99.26,1.58,66.04,26.44,0
26-01-1984,18.95,99.23,1.48,63.32,26.33,0
27-01-1984,19.58,99.23,1.55,64.66,26.35,0
28-01-1984,20.42,99.15,1.79,66.27,26.62,0
29-01-1984,19.87,99.03,1.58,65.36,26.9,0.01
30-01-1984,18.21,99.06,1.59,66.15,27.21,0.78
31-01-1984,20.65,99.12,1.56,64.63,27.2,0.17
01-02-1984,19.18,99.1,1.27,66.84,27,0
02-02-1984,19.4,99.06,1.68,66.43,27.15,0
03-02-1984,18.96,98.97,2.03,56.37,27.34,0
04-02-1984,19.09,98.86,1.45,61.99,27.94,0
05-02-1984,20.89,98.74,1.74,57.57,28.51,0.01
06-02-1984,20.52,98.81,1.22,61.29,28.43,0.09
07-02-1984,19.91,98.83,1.65,62.84,28.6,0.1
08-02-1984,22.15,98.84,1.53,71.45,27.67,0.48
09-02-1984,21.1,98.93,1.46,66.47,28.58,1.58
10-02-1984,19.93,98.94,1.27,71.67,27.49,2.49
11-02-1984,18.99,98.88,2.02,64.54,28.45,0.22
12-02-1984,19.75,98.9,2.49,60.86,28.56,0
13-02-1984,20.89,98.93,0.87,63.55,28.02,0.34
14-02-1984,19.19,99,1.95,65.76,27.53,1.97
15-02-1984,22.11,99.03,1.84,56.57,27.99,0.35
16-02-1984,21.88,99.05,1.61,61.76,28.46,0.3
17-02-1984,21.38,99.09,1.87,70.12,27.67,0.16
18-02-1984,22.24,99.14,2.47,65.21,27.97,0.98
19-02-1984,19.3,99.21,2.43,57.77,27.6,0.27
20-02-1984,20.89,99.26,3.16,56.62,27.15,0
21-02-1984,21.29,99.2,3.18,61.31,27.76,0
22-02-1984,21.4,99.14,2.34,60.64,28.35,0
23-02-1984,21.9,99.2,1.75,61.76,28.19,0.02
24-02-1984,21.68,99.11,1.57,61.96,28.57,0.09
25-02-1984,21.62,99.13,1.76,62.34,28.61,0.02
26-02-1984,22.06,99.16,1.46,60.29,28.64,0.27
27-02-1984,21.64,99.11,1.18,56.86,28.67,0.07
28-02-1984,21.04,99.04,1.5,50.77,28.77,0
29-02-1984,21.06,99.15,1.41,52.15,29.27,0
01-03-1984,21.85,99.25,1.83,53.4,29.4,0
02-03-1984,20.74,99.21,1.42,42.68,29.35,0
03-03-1984,22.9,99.18,1.27,45.2,29.55,0
04-03-1984,10.23,99.19,1.77,56.79,29,0.21
05-03-1984,6.75,99.1,1.53,65.03,27.41,15.04
06-03-1984,21.04,99.01,0.75,72.91,26.12,9.63
07-03-1984,19.43,99.07,1.4,79.66,25.4,1.69
08-03-1984,22.99,99.19,0.92,81.42,24.42,1.23
09-03-1984,23.25,99.12,1.4,70.9,26.75,0.35
10-03-1984,22.95,99.12,1.8,70.31,27.41,0.15
11-03-1984,21.69,99.16,2.07,72.98,27.84,0.19
12-03-1984,23.29,99.1,1.95,70.87,28.29,0.49
13-03-1984,22.2,99.06,2.01,64.21,28.53,0.11
14-03-1984,22.14,99.08,1.74,61.62,28.56,0.36
15-03-1984,21.82,99.14,1.58,64.84,28.91,0.22
16-03-1984,20.72,99.23,1.69,60.72,29.64,0.16
17-03-1984,23.83,99.33,1.76,63.02,29.11,0.02
18-03-1984,22.91,99.21,1.78,65.9,28.94,0
19-03-1984,23.25,99.14,1.86,63.41,29.36,0
20-03-1984,23.24,99.18,1.58,60.35,29.75,0
21-03-1984,22.2,99.2,1.54,57.52,29.72,0
22-03-1984,21.8,99.22,1.77,63.25,29.11,0.04
23-03-1984,22.04,99.14,1.77,66.5,28.83,0.03
24-03-1984,22.16,99.12,1.96,64.06,28.84,0.04
25-03-1984,22.86,99.06,1.94,62.5,28.97,0.15
26-03-1984,23.79,99.1,1.77,60.48,29.15,0.01
27-03-1984,22.72,99.24,1.54,62.25,28.94,0.02
28-03-1984,23.37,99.26,1.66,62.71,29.07,0.02
29-03-1984,22.35,99.13,1.4,68.21,28.43,0.02
30-03-1984,21.74,99.07,1.6,67.56,28.71,0.07
31-03-1984,21.96,99.05,1.94,66.83,28.97,0.06
01-04-1984,23.18,99.05,2.17,67.46,28.87,0.96
02-04-1984,22.5,99.02,2.17,66.61,29.46,0.74
03-04-1984,23.96,98.94,1.81,70.68,28.55,0.64
04-04-1984,20.72,98.94,1.91,75.04,27.91,7.77
05-04-1984,24.22,98.98,1.17,76.11,27.96,18.64
