Date,precipitation_mm,temp_max,temp_min,humidity,wind_speed,solar_radiation,pressure
2000-01-01,0.0,29.33,20.88,73.4,2.61,5.04,101.04
2000-01-02,0.0,31.36,18.2,63.38,1.35,4.69,101.29
2000-01-03,0.0,29.94,17.93,68.85,2.28,7.55,101.32
2000-01-04,0.25,31.56,19.78,70.54,1.32,6.98,101.2
2000-01-05,0.28,30.66,20.97,65.67,2.67,7.72,101.56
2000-01-06,0.0,32.11,20.71,71.42,1.56,4.32,100.98
2000-01-07,0.0,28.98,19.44,66.35,1.91,5.97,101.47
2000-01-08,0.0,29.74,20.13,73.66,2.58,5.12,101.14
2000-01-09,0.0,32.77,19.42,76.17,2.04,4.67,101.18
2000-01-10,0.0,31.54,22.35,71.82,3.05,3.4,101.45
2000-01-11,0.18,32.56,21.58,72.1,1.37,4.3,100.96
2000-01-12,2.44,29.79,19.9,76.58,2.06,4.08,101.35
2000-01-13,0.0,33.06,20.71,70.45,2.34,5.29,101.09
2000-01-14,0.0,31.44,20.81,72.03,1.61,4.37,101.07
2000-01-15,0.0,31.68,20.3,73.07,0.2,4.75,101.62
2000-01-16,0.0,28.12,20.47,72.3,3.77,5.35,101.29
2000-01-17,0.0,31.51,20.49,75.84,0.88,4.88,101.43
2000-01-18,0.0,33.1,18.82,74.93,3.55,4.71,101.03
2000-01-19,7.75,32.31,20.51,75.17,2.32,3.52,101.36
2000-01-20,0.0,29.63,19.56,70.39,2.45,4.52,101.27
2000-01-21,0.0,32.96,20.11,70.97,0.65,6.45,101.59
2000-01-22,0.0,29.7,20.8,73.73,1.26,5.69,101.29
2000-01-23,0.42,31.26,19.04,77.25,2.86,6.09,100.91
2000-01-24,0.0,32.74,19.52,76.82,2.13,6.16,101.77
2000-01-25,0.19,29.84,21.55,70.8,2.77,5.93,102.02
2000-01-26,0.0,31.14,21.25,67.71,0.94,5.89,101.13
2000-01-27,2.36,30.81,21.39,69.74,2.42,5.34,101.1
2000-01-28,0.0,31.32,19.01,72.87,2.11,4.79,101.25
2000-01-29,0.0,32.59,20.56,76.36,2.65,4.73,101.61
2000-01-30,0.0,31.77,21.12,74.58,4.88,5.96,101.54
2000-01-31,0.0,31.35,20.71,66.24,0.6,5.63,100.94
2000-02-01,16.08,28.2,21.32,68.94,1.42,4.37,101.22
2000-02-02,0.0,29.38,21.16,65.65,3.71,6.97,101.61
2000-02-03,0.0,32.24,18.07,72.93,1.27,6.18,100.96
2000-02-04,0.87,29.84,22.49,70.33,1.55,5.75,100.72
2000-02-05,0.0,29.11,21.6,82.61,2.63,4.28,101.05
2000-02-06,0.0,30.64,22.75,71.9,1.05,4.46,101.17
2000-02-07,0.0,33.45,18.78,69.8,1.9,6.65,100.77
2000-02-08,0.0,31.61,21.59,70.99,1.85,6.02,101.24
2000-02-09,0.0,33.38,19.01,82.67,0.24,5.38,101.38
2000-02-10,0.0,30.27,20.75,76.42,1.43,5.0,101.09
2000-02-11,0.0,32.35,20.87,76.06,2.3,4.84,101.03
2000-02-12,0.0,28.32,19.04,68.65,2.73,6.74,101.07
2000-02-13,0.0,32.96,20.53,75.41,1.55,5.76,101.16
2000-02-14,0.0,33.87,21.78,63.04,1.44,6.46,100.84
